Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 World,Qatar,Export,  All Products,Export (US$ Thousand),1104251.858,1306650.193,1553056.724,2467200.7,2334111.125,3494976.665,3084787.276,1967515.699,3858423.971,5126919.002,5834682.652,7841631.529,11442903.24,13468669.31,21756238.79,30336204.83,37788970.54,31128358.8,27283793.53,27373665.44,32568298.29,34305092.41,43741525.76,43170534.82,39942457.34,40307030.84,43665673.35,47809970.22,35975362.26,39366697.2,48641971.04
 World,Saudi Arabia,Export,  All Products,Export (US$ Thousand),23079469.85,24897176.82,26117920.34,27256706.39,29570735.42,35546492.65,37240383.64,30545618.31,42759449.42,45265304.09,48749497.83,55563300.7,59691866.07,71772234.32,85575546.29,108809228.5,133428235.7,111384142.4,126826666.4,154734039.8,188459387.5,201476493.2,207075994.8,205018140.3,161075607.7,163720580.4,163030915.7,172262160.3,161006399.6,174445063.3,204162532.8
 World,Turkiye,Export,  All Products,Export (US$ Thousand),11892398.08,17062453.82,16408205.48,26227015.55,34995394.65,41291023.58,39776520.91,34206387.09,77529858.95,55355741.69,69551510.76,95422771.4,134520683.7,154130957.9,179790572.9,276904023.6,251382277.3,183262689,235946853.5,297902681.8,288071318,312231070.4,303070053,262013390.9,258300920.2,301623944.4,291645773.8,268738070.1,270268097.1,334216576.8,353913252.7
 World,UAE,Export,  All Products,Export (US$ Thousand),12347605.72,15986667.89,19495895.95,23010016.96,24464146.33,27372654.95,29708695.27,29067646.98,45908644.4,51259294.22,58964477.42,73855064.62,92871759.93,124909322,142600473,386115236.6,231508282.8,184980027.5,203689579,250852059.8,270072266.8,331264493,310370745.5,290657399.7,278576154.9,272360839,257005451.6,252150855.8,209976104.2,275802553.1,295547455.4
 World,Viet Nam,Export,  All Products,Export (US$ Thousand),1884406.601,4040925.317,5715528.945,8171156.364,10236953.63,11382370.53,10723053.84,10900779.19,15101759.88,16281059.78,19738791.65,25452582.53,32986121.27,36923504.54,46208119.55,65880890.76,81463098.42,76739205.75,98160708.03,123303500.8,132641681.5,164172268.5,186939719.2,202370856.2,211527258.7,251046148.2,273304603.1,286547034.8,293982281.4,356414936.6,378824359.7
 World,United States,Export,  All Products,Export (US$ Thousand),390763758.8,489304804.1,609156336.1,689977545.8,745944099.5,833725019.5,874753848.1,975855305.2,1361483773,1279278599,1333072284,1438970824,1661886123,1832995741,2062222046,2306059423,2267397621,1709077103,2059228514,2351403298,2422179292,2443813557,2574421673,2496037385,2438718196,2618022500,2866351619,2874367640,2703695387,3284071797,3651286061
China, World,,,TII,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,Afghanistan,,,TII,2.340730279,2.983375761,2.980759051,3.290200621,2.274545007,2.23282312,2.043127754,1.273694086,0.861415097,0.899720095,0.414087853,0.257413237,0.38568674,0.193874473,0.321712411,0.900500354,0.286456744,0.288602036,0.149257457,0.159720422,0.371206681,0.246200643,0.326216401,0.290977672,0.389214591,0.406841343,0.502379691,0.539217479,0.414304099,0.446291734,0.645952394
China,Bangladesh,,,TII,2.60018754,2.082919358,2.86315225,3.654373273,4.128202903,3.45953683,3.042660179,3.370239511,3.368549444,3.074180721,3.164549152,2.812036397,2.940092613,2.878128315,2.954317481,1.34487869,2.736821752,2.548134227,2.507110176,2.378216231,2.32204528,2.437273706,2.398484822,2.510338704,2.606638469,2.407913261,2.452216314,2.318055913,2.135832011,2.160329054,2.134127965
China,Belarus,,,TII,0.795761553,0.816620827,0.234448738,0.143858399,0.048941321,0.060496246,0.024828348,0.02552829,0.12737598,0.024258856,0.035498778,0.046716823,0.05975267,0.06262712,0.113846563,0.186393267,0.096747139,0.097710346,0.214348107,0.150001325,0.195327932,0.187599853,0.2418172,0.214810265,0.314246032,0.213137828,0.231935176,0.353276534,0.430048246,0.42723943,1.197804409
China,China,,,TII,7.81066E-07,3.2164E-07,2.73662E-07,2.26999E-07,2.18367E-07,1.80568E-07,1.9202E-07,1.78711E-07,1.24489E-07,1.06424E-07,7.65116E-08,4.73011E-08,3.24085E-08,2.43985E-08,1.84371E-08,1.8892E-08,1.20814E-08,1.17147E-08,7.94558E-09,6.54446E-09,6.0191E-09,5.40279E-09,5.07883E-09,5.18451E-09,5.50136E-09,4.78863E-09,4.30144E-09,4.2612E-09,3.82605E-09,2.99529E-09,3.20605E-09
China,Egypt,,,TII,0.632800099,0.682590124,0.719138403,0.960791366,0.842100642,0.754866991,0.867605401,1.088260887,0.897218268,0.933443552,0.847243216,0.734591969,0.745042669,0.782214231,0.943364872,1.762836127,0.981957085,0.874355535,0.813835597,0.953462751,0.928153633,0.9401763,0.947274971,1.053424317,1.00519832,0.918600578,1.067752782,1.056532829,1.120993049,1.087233601,1.212689692
China,India,,,TII,0.440811893,0.557814965,0.929567385,0.848242879,0.751461881,0.873859846,0.934546034,0.879076733,0.769242481,0.904164254,0.995454016,0.845830523,1.009037532,1.021099581,1.185727914,2.2593099,1.347357859,1.34040855,1.335393364,1.354470243,1.143463362,1.215571195,1.257026586,1.333235974,1.466169951,1.447466391,1.483026152,1.486261718,1.503583717,1.395772464,1.525952765
China,Iran,,,TII,0.714101858,1.178717793,0.98384899,0.98620514,1.198521352,1.194777073,1.728600323,1.730211996,1.065342775,0.976429494,1.104640005,1.155811212,0.889618648,0.902454263,1.101896947,2.468984979,1.331963962,1.328249666,1.497398308,1.760678036,1.436180886,2.025740168,2.833152266,2.259804827,2.114952234,2.016479885,1.89844484,1.925036024,2.022222564,1.566883007,1.748474533
