Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 World,Qatar,Export,  All Products,Export (US$ Thousand),2334111.125,3494976.665,3084787.276,1967515.699,3858423.971,5126919.002,5834682.652,7841631.529,11442903.24,13468669.31,21756238.79,30336204.83,37788970.54,31128358.8,27283793.53,27373665.44,32568298.29,34305092.41,43741525.76,43170534.82,39942457.34,40307030.84,43665673.35,47809970.22,35975362.26,39366697.2
 World,Russia,Export,  All Products,Export (US$ Thousand),54567677.65,58847388.26,51219300.46,34324597.99,63410220.76,80629257.03,90552045.17,117295216.8,159049541.3,197412559,253787710.6,602521003,442032071.1,254093227.4,334790386.8,448436609.1,470750421.7,475285054.4,424763463.7,258884086.8,254075296,308227048,324447207.1,329744839.4,304600344.1,369869923.1
 World,Saudi Arabia,Export,  All Products,Export (US$ Thousand),29570735.42,35546492.65,37240383.64,30545618.31,42759449.42,45265304.09,48749497.83,55563300.7,59691866.07,71772234.32,85575546.29,108809228.5,133428235.7,111384142.4,126826666.4,154734039.8,188459387.5,201476493.2,207075994.8,205018140.3,161075607.7,163720580.4,163030915.7,172262160.3,161006399.6,174445063.3
 World,Turkiye,Export,  All Products,Export (US$ Thousand),34995394.65,41291023.58,39776520.91,34206387.09,77529858.95,55355741.69,69551510.76,95422771.4,134520683.7,154130957.9,179790572.9,276904023.6,251382277.3,183262689,235946853.5,297902681.8,288071318,312231070.4,303070053,262013390.9,258300920.2,301623944.4,291645773.8,268738070.1,270268097.1,334216576.8
 World,UAE,Export,  All Products,Export (US$ Thousand),24464146.33,27372654.95,29708695.27,29067646.98,45908644.4,51259294.22,58964477.42,73855064.62,92871759.93,124909322,142600473,386115236.6,231508282.8,184980027.5,203689579,250852059.8,270072266.8,331264493,310370745.5,290657399.7,278576154.9,272360839,257005451.6,252150855.8,209976104.2,275802553.1
 World,Viet Nam,Export,  All Products,Export (US$ Thousand),10236953.63,11382370.53,10723053.84,10900779.19,15101759.88,16281059.78,19738791.65,25452582.53,32986121.27,36923504.54,46208119.55,65880890.76,81463098.42,76739205.75,98160708.03,123303500.8,132641681.5,164172268.5,186939719.2,202370856.2,211527258.7,251046148.2,273304603.1,286547034.8,293982281.4,356414936.6
 World,United States,Export,  All Products,Export (US$ Thousand),745944099.5,833725019.5,874753848.1,975855305.2,1361483773,1279278599,1333072284,1438970824,1661886123,1832995741,2062222046,2306059423,2267397621,1709077103,2059228514,2351403298,2422179292,2443813557,2574421673,2496037385,2438718196,2618022500,2866351619,2874367640,2703695387,3284071797
Russia, World,Export,  All Products,Export (US$ Thousand),88703000,87368000,72275585.47,72884999.95,103092748.4,99868397.03,106691997.9,133655685.2,181600379.2,241451656.9,301550665.5,352266398.8,467993954.6,301796058.8,397067521,516992618.2,524766420.6,527265918.9,497833528.8,343907651.8,301780443.4,379206606,451494828.2,426720332.7,337103969.6,492313790.7
Russia,Afghanistan,Export,  All Products,Export (US$ Thousand),21110.64,19232.461,13630.412,13295.264,11158.588,7784.194,32261.424,54503.833,75941.372,104415.875,82552.294,124775.247,172545.399,336000,538970.824,801273.401,938399.566,630974.174,407601.621,148012.803,236111.9594,258932.3558,118660.6746,120961.267,153355.0356,81933.82015
Russia,Bangladesh,Export,  All Products,Export (US$ Thousand),7078.409,7770,52273.465,91553.86,91681.6,36853.421,31055.814,32915.688,60051.417,187147.227,234783.959,181179.04,222457.778,104483.947,161121.19,234849.702,323261.935,256334.132,222286.424,455883.351,827032.2769,846451.306,733511.1174,1117773.971,1528690.535,1721243.886
Russia,Belarus,Export,  All Products,Export (US$ Thousand),3356949,4631300,4622600,3767000,5572101,5249372,5922296,7601917,11219191,10118151,13084338,17187000,23696967.66,16717000,18080614.5,24930203.4,21380404.71,16870227.72,16539841.09,12428309.69,14762304.9,20335904.87,22779795.97,21708324.44,15978568.13,23130382.72
Russia,China,Export,  All Products,Export (US$ Thousand),4750367.708,3981420,3199632.288,3526768.138,5247619.974,5596012.922,6836946.641,8257599.165,10105068.54,13047744.85,15757053.28,15166641.4,21147334.47,16669000,19783043.49,34692362,35766829.5,35625419.98,37414604.12,28334954.57,29953376.57,41671349.42,56019903.78,57321295.78,49146337.03,68679248.08
Russia,Egypt,Export,  All Products,Export (US$ Thousand),387797.27,438812,399793.554,482177.348,449086.864,446705.826,492255.125,376152.4,774178.509,1048474.79,1241411.106,1860503.896,1922689.759,1824000,1757762.53,2335342.684,3212235.901,2503412.474,4110292.296,3252856.564,3844142.156,6346221.275,7062278.802,5768537.856,4019128.988,4177311.525
Russia,India,Export,  All Products,Export (US$ Thousand),793571.58,917670,585127.264,1177240.402,1081683.949,1120423.428,1610551.669,2735372.661,2502042.821,2314004.306,2925514.39,3033605.64,5231012.021,5937000,5406299.079,4665703.624,7566692.506,6982660.212,4395697.415,4549940.902,5823065.628,7125588.189,7751475.129,7308334.201,5798192.803,9128108.422
Russia,Iran,Export,  All Products,Export (US$ Thousand),377087.649,461436,518746.886,416675.521,633289.874,903970.237,757053.956,1312556.462,1911503.799,1921625.327,1903647.294,2924443.536,3291208.965,2846000,3359045.633,3277139.822,1900386.6,1168616.099,1325513.641,1017213.537,1896414.601,1355362.491,1205741.842,1518231.578,1423524.908,3068188.156
Russia,Iraq,Export,  All Products,Export (US$ Thousand),1025.258,5181.82,43069.7,75718.657,89886.249,187318.783,366701.833,167544.775,205812.007,107158.669,113479.723,51391.963,102335.904,64319.923,107542.94,99444.518,285704.982,376851.652,236833.125,447600.959,921070.214,1408549.755,765466.6008,264376.4975,127251.5064,282680.9571
Russia,Israel,Export,  All Products,Export (US$ Thousand),564568.329,426759,493919.95,556429.423,1045018.651,945246.159,1095293.841,1454073.004,1437284.784,1537637.357,1551272.749,1512354.006,2034068.06,1047000,1683038.848,1307388.452,1631093.528,2084818.134,2290445.155,1537672.881,1467798.315,1670948.534,1954133.623,1416502.07,1334178.777,1736219.835
Russia,Japan,Export,  All Products,Export (US$ Thousand),3367321.427,2935066,2193669.735,2124691.123,2764309.173,2426637.146,1803313.219,2421423.403,3403887.816,3740270.354,4624672.469,7490642.841,10429042.54,7262992.716,12493561.58,14234690.26,15588026.76,19667507.62,19830780.97,14426352.1,9845579.627,11013597.68,12440341.53,11354761.09,9053904.134,10726012.15
Russia,South Korea,Export,  All Products,Export (US$ Thousand),1340387.776,835358,508127.187,826176.77,972070.621,1108094.717,1271152.325,1323617.509,1963345.002,2359156.327,2606727.43,6089829.833,7787222.934,5689000,10407938.18,13329720.58,13865478.84,14867070.24,18081831.35,13196117.47,10878065.45,12717563.34,17824997.47,16357365.74,12468100.6,16894810.11
Russia,Myanmar,Export,  All Products,Export (US$ Thousand),13375.252,517.467,320.322,77.242,3708.835,33398.211,87904.652,10655.756,23194.65,692.052,6549.38,14494.474,32309.081,45424.219,62662.102,270195.857,131088.781,78691.989,39027.054,98149.809,287343.0855,179939.7354,272367.609,266100.6454,225148.1156,284332.6787
Russia,Pakistan,Export,  All Products,Export (US$ Thousand),67629.223,15566,20611.599,37361.956,62692.761,57331.914,81476.762,70837.269,226757.972,231473.592,299472.185,249709.847,461322.894,235000,104317.35,126319.481,209951.163,197068.781,143086.798,96574.89,134966.6011,263166.4657,418832.6129,168960.7356,496902.2387,343428.6026
Russia,Qatar,Export,  All Products,Export (US$ Thousand),1439.463,530.688,412.418,4.441,10.16,21.848,80.335,1926.799,17526.315,1682.233,102.815,546.728,6231.328,1512.12,3448.401,9366.665,4319.801,18343.384,24059.846,13740.295,24532.74561,51492.68002,42328.40945,45930.73918,63956.43806,124182.8536
Russia,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
