Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,TII,TII Score
United States,Iran,Import,  All Products,Import (US$ Thousand),1997,145.389,TII,0.000731126
United States,Iraq,Import,  All Products,Import (US$ Thousand),1997,317085.344,TII,0.80636202
United States,Israel,Import,  All Products,Import (US$ Thousand),1997,7459251.323,TII,1.814521228
United States,Japan,Import,  All Products,Import (US$ Thousand),1997,124265667.1,TII,1.890557073
United States,South Korea,Import,  All Products,Import (US$ Thousand),1997,23797587.59,TII,1.784229285
United States,Myanmar,Import,  All Products,Import (US$ Thousand),1997,123197.559,TII,0.051812655
United States,Pakistan,Import,  All Products,Import (US$ Thousand),1997,1525539.157,TII,1.20563888
United States,Qatar,Import,  All Products,Import (US$ Thousand),1997,167940.843,TII,0.794286725
United States,Russia,Import,  All Products,Import (US$ Thousand),1997,4523088.149,TII,0.431010497
United States,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1997,10135068.83,TII,1.833526986
United States,Turkiye,Import,  All Products,Import (US$ Thousand),1997,2244725.822,TII,0.661088351
United States,UAE,Import,  All Products,Import (US$ Thousand),1997,964423.676,TII,0.734129807
United States,Viet Nam,Import,  All Products,Import (US$ Thousand),1997,412600.554,TII,0.188211224
Russia, World,Import,  All Products,Import (US$ Thousand),1997,41865361.96,TII,1
Russia,Afghanistan,Import,  All Products,Import (US$ Thousand),1997,2780.445,TII,2.766638637
Russia,Bangladesh,Import,  All Products,Import (US$ Thousand),1997,3620.611,TII,0.080791303
Russia,Belarus,Import,  All Products,Import (US$ Thousand),1997,3940953,TII,34.82156069
Russia,China,Import,  All Products,Import (US$ Thousand),1997,1646500.684,TII,1.504121536
Russia,India,Import,  All Products,Import (US$ Thousand),1997,545528.695,TII,1.79686426
Russia,Iraq,Import,  All Products,Import (US$ Thousand),1997,0.009,TII,0.401243367
Russia,Israel,Import,  All Products,Import (US$ Thousand),1997,131328.49,TII,1.016676592
Russia,Japan,Import,  All Products,Import (US$ Thousand),1997,870781.516,TII,0.665061107
Russia,Myanmar,Import,  All Products,Import (US$ Thousand),1997,132.339,TII,0.010545357
Russia,Pakistan,Import,  All Products,Import (US$ Thousand),1997,26038.49,TII,0.119686572
Russia,Qatar,Import,  All Products,Import (US$ Thousand),1997,,TII,0.009215553
Russia,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1997,593.179,TII,0.324092175
Russia,Turkiye,Import,  All Products,Import (US$ Thousand),1997,521011.601,TII,2.915156071
Russia,United States,Import,  All Products,Import (US$ Thousand),1997,3260386.244,TII,0.326565109
Russia,Viet Nam,Import,  All Products,Import (US$ Thousand),1997,80017.88,TII,1.679391152
Russia, World,Export,  All Products,Export (US$ Thousand),1997,99868397.03,TII,1
Russia,Afghanistan,Export,  All Products,Export (US$ Thousand),1997,7784.194,TII,2.766638637
Russia,Bangladesh,Export,  All Products,Export (US$ Thousand),1997,36853.421,TII,0.080791303
Russia,Belarus,Export,  All Products,Export (US$ Thousand),1997,5249372,TII,34.82156069
Russia,China,Export,  All Products,Export (US$ Thousand),1997,5596012.922,TII,1.504121536
Russia,India,Export,  All Products,Export (US$ Thousand),1997,1120423.428,TII,1.79686426
Russia,Iraq,Export,  All Products,Export (US$ Thousand),1997,187318.783,TII,0.401243367
Russia,Israel,Export,  All Products,Export (US$ Thousand),1997,945246.159,TII,1.016676592
Russia,Japan,Export,  All Products,Export (US$ Thousand),1997,2426637.146,TII,0.665061107
Russia,Myanmar,Export,  All Products,Export (US$ Thousand),1997,33398.211,TII,0.010545357
