Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production,TII,TII Score
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24691,United States,Egypt,MIM-23B,SAM,Missiles,1996,No,45,Yes,2001,Yes,Second hand,0.17,0.07,3.06,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24535,United States,Egypt,AIM-7M,BVRAAM,Missiles,1996,No,215,Yes,1996,No,New,0.18,0.18,38.7,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24535,United States,Egypt,AIM-7M,BVRAAM,Missiles,1996,No,56,Yes,1997,Yes,New,0.18,0.18,10.08,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24513,United States,Egypt,TOW,anti-tank missile,Missiles,1996,No,750,Yes,2000,Yes,New,0.01,0.01,7.5,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24513,United States,Egypt,TOW,anti-tank missile,Missiles,1996,No,122,Yes,2001,Yes,New,0.01,0.01,1.22,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24513,United States,Egypt,TOW,anti-tank missile,Missiles,1996,No,750,Yes,1998,Yes,New,0.01,0.01,7.5,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24513,United States,Egypt,TOW,anti-tank missile,Missiles,1996,No,750,Yes,1999,Yes,New,0.01,0.01,7.5,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24510,United States,Egypt,AGM-114 Hellfire-2,anti-tank missile/ASM,Missiles,1996,No,464,Yes,1999,No,New,0.05,0.05,23.2,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24510,United States,Egypt,AGM-114 Hellfire-2,anti-tank missile/ASM,Missiles,1996,No,463,Yes,1998,No,New,0.05,0.05,23.15,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24201,United States,Egypt,SM-1MR,SAM,Missiles,1996,No,32,No,1999,No,New,0.25,0.25,8,No,TII,1.588754884
